Portfolio,Alpha_Ann,Alpha_tstat,Mkt_Beta,Mkt_tstat,SMB,HML,UMD,Adj_R2,N_obs,Alpha_Ann_%
Full_Jur_Buy_20d,-2.63,-0.92,0.99,35.92,0.1,0.12,-0.09,0.749,3111,-2.63
Full_Jur_Sell_20d,-11.55,-4.31,0.97,53.01,0.09,0.06,-0.11,0.772,3058,-11.55***
Full_NonJur_Buy_20d,-7.05,-4.23,1.02,93.03,0.11,0.13,-0.1,0.884,3206,-7.05***
Full_NonJur_Sell_20d,-4.56,-1.53,1.01,49.3,0.11,0.13,-0.05,0.716,3262,-4.56
Full_Spread_Buy_20d,5.52,1.85,-0.02,-0.96,-0.01,-0.01,0.01,0.001,3055,5.52*
Full_Spread_Sell_20d,7.23,2.14,0.04,3.01,0.02,0.07,0.06,0.013,3058,7.23**
Full_Jur_Buy_130d,-5.12,-2.68,1.02,77.49,0.06,0.11,-0.1,0.859,3343,-5.12***
Full_Jur_Sell_130d,-7.13,-4.03,0.98,54.06,0.08,0.06,-0.11,0.9,3180,-7.13***
Full_NonJur_Buy_130d,-4.68,-3.48,1.01,90.5,0.1,0.13,-0.11,0.932,3357,-4.68***
Full_NonJur_Sell_130d,-4.61,-2.91,1.0,72.97,0.11,0.13,-0.08,0.92,3379,-4.61***
Full_Spread_Buy_130d,-1.15,-0.61,0.01,1.13,-0.05,-0.02,0.01,0.006,3323,-1.15
Full_Spread_Sell_130d,3.33,1.9,0.03,3.32,0.04,0.08,0.03,0.029,3180,3.33*
Full_Jur_Buy_255d,-3.66,-2.01,1.01,76.6,0.06,0.11,-0.11,0.875,3343,-3.66**
Full_Jur_Sell_255d,-6.54,-4.0,0.97,53.53,0.08,0.06,-0.13,0.916,3189,-6.54***
Full_NonJur_Buy_255d,-4.38,-3.44,1.0,92.33,0.1,0.14,-0.12,0.94,3377,-4.38***
Full_NonJur_Sell_255d,-5.2,-3.59,1.01,62.86,0.11,0.13,-0.1,0.947,3379,-5.2***
Full_Spread_Buy_255d,0.63,0.37,0.01,1.36,-0.04,-0.04,0.01,0.007,3343,0.63
Full_Spread_Sell_255d,1.58,1.11,0.04,5.05,0.03,0.07,0.03,0.039,3189,1.58
